source,title,summary,timestamp,category
example_feed,New era for space dawns as Artemis astronauts return,"After a 10-day journey around the far side of the Moon, the four astronauts on NASA’s Artemis II mission are set to splash down in the Pacific Ocean late on Friday.&nbsp;",,other
example_feed,Sudan: 14 million displaced; hunger and attacks on health continue as war enters fourth year,"As Sudan approaches the third anniversary of a brutal civil war, millions remain displaced and hungry while the health system lies in ruins, with no end to the violence in sight, UN agencies said on Friday.",,security
example_feed,"Lebanon airstrike casualties ‘still under the rubble’ as ambulances, hospitals face new threats","With Lebanon still reeling from Israel’s devastating airstrikes on 8 April, UN humanitarians reported new fears of attacks on ambulances and looming food shortages in the south of the country on Friday.",,security
example_feed,MIDDLE EAST LIVE 10 April: Fear and uncertainty grow in Lebanon as conflict grinds on,"Fighting continues across parts of the Middle East, with renewed exchanges between Israel and Hezbollah in Lebanon. Humanitarian needs are deepening, with rising civilian casualties, mounting displacement and growing strain on services. Diplomatic efforts continue with high stakes negotiations due to start Saturday between the US and Iran over the faltering ceasefire deal. Lebanon is an active war zone and the Strait of Hormuz is still effectively closed. Stay with us for live updates. App users can follow coverage here.",,security
example_feed,Kosovo mission head warns ‘mistrust’ threatens post-election stability,"Despite successful legislative elections in Kosovo late last year, a “delicate equilibrium” persists as deep divisions remain over the future of the United Nations presence in the region.",,other
example_feed,Development finance gap risks reversing decades of progress,"Global fragmentation, deepening geopolitical tensions and conflicts are putting decades of development progress at risk, the UN warned in a report published on Thursday - calling for stepping up investment to meet internationally agreed goals.&nbsp;",,security
example_feed,Lebanon: Health system overwhelmed following a ‘horrific’ day of Israeli strikes,"The scale and speed of destruction from the wave of airstrikes in Lebanon which began just hours after the US-Iran ceasefire announcement, has left the country’s already strained health system struggling to cope, according to the World Health Organization (WHO).",,mobility
example_feed,"World News in Brief: Sudan refugee update, child trafficking crisis in South Sudan, ‘mystery’ illness in Burundi, human rights in Serbia","More than a million Sudanese refugees who’ve fled into neighbouring Chad risk losing out on essential food, shelter and other support due to funding cuts, as the war in their homeland approaches the three-year mark.",,mobility
example_feed,"MIDDLE EAST LIVE 9 April: UN condemns massive strikes in Lebanon, as concerns grow over ceasefire","With a US-Iran ceasefire offering a fragile glimmer of hope after weeks of conflict, violence continues to reverberate across the Middle East. Massive airstrikes in Lebanon have caused heavy civilian casualties and widespread destruction, drawing strong UN condemnation. As humanitarian needs deepen and diplomatic efforts intensify, the situation remains highly volatile. Stay with us for live updates. App users can follow coverage here.",,security
example_feed,Iran ceasefire raises hopes for reopening key Strait of Hormuz,"The announcement of a shaky two-week ceasefire between the US and Iran will, it is hoped, lead to the opening of the strategically important Strait of Hormuz, a vital waterway through which one fifth of the world’s oil and gas passes.",,mobility
example_feed,Hundreds feared dead in Lebanon strikes,The United Nations has strongly condemned airstrikes by the Israeli military across Lebanon on Wednesday which have resulted in significant casualties and destruction. &nbsp;,,security
example_feed,"Over 1,000 humanitarians have been killed in three years, Security Council hears","At least 326 humanitarians were killed in the line of duty across 21 countries during 2025, bringing the total killed over three years to over 1,010. The International Red Cross warned the Security Council on Wednesday that “we are losing our humanity in war.”",,other
example_feed,MIDDLE EAST LIVE 8 April: US-Iran ceasefire announced; strikes continue in Lebanon,"After nearly 40 days of intense hostilities across the Middle East – marked by rising civilian casualties and widespread damage to critical infrastructure – a two-week ceasefire between the United States and Iran has been announced. While the UN Secretary-General has welcomed the move as a step toward a broader peace, reports of continued Israeli strikes and mass casualties across Lebanon underscore the fragility of the situation. Stay with us for live updates. App users can follow coverage here.",,mobility
example_feed,"World News in Brief: Death on the Mediterranean, displacement in Afghanistan, ‘One Health’ summit","Over 180 people are feared dead or missing in the latest shipwrecks on the Mediterranean, according to the UN migration agency, IOM.",,other
example_feed,Security Council: Russia and China veto resolution on Strait of Hormuz,"The UN Security Council has failed to adopt a resolution aiming to boost security in the Strait of Hormuz as the critical shipping corridor remains largely closed to global trade and the transport of humanitarian aid, with war continuing to rage across the region.&nbsp;",,mobility
example_feed,From misdiagnosis to medical bias: Why women are living longer but not better,"For 25 years, the world has made&nbsp;significant progress in advancing women’s right to health, particularly in sexual and reproductive care. Women are living longer than ever before – but they are not living better.",,other
example_feed,MIDDLE EAST LIVE 7 April: Humanitarian and economic pressures grow; Russia and China veto resolution on Strait of Hormuz,"Hostilities continue across the Middle East, with ongoing strikes, rising civilian impacts and mounting pressure on critical infrastructure and humanitarian services. On the diplomatic track in New York, China and Russia vetoed a Security Council resolution put forward by Gulf States to ensure safety and security of ships in the Strait of Hormuz - find full coverage here. Meanwhile, displacement remains high, aid access is constrained. Human rights chief Volker Türk says President Trump’s threat to annihilate Iranian civilisation is “sickening”. Stay with us for live updates from across the UN system. App users can follow coverage here.",,mobility
example_feed,‘Entire families brutally erased’: Remembering the victims of the 1994 genocide against the Tutsi in Rwanda,"Thirty-two years ago, a genocidal campaign was unleashed against Rwanda’s Tutsi minority, resulting in more than one million deaths. On Tuesday, the UN is holding commemorations to ensure that the genocide is never forgotten and never repeated.",,other
example_feed,"World News in Brief: ‘Skyrocketing’ needs outpace Sudan funding, Ukraine strikes update, global water security","The UN is significantly scaling up its presence in the Sudanese capital, Khartoum, to expand life-saving operations as the conflict between rival militaries approaches its third year.",,security
example_feed,Cuba energy crisis: Humanitarian needs remain despite fuel supplies,The UN has issued an urgent call for international support as Cuba grapples with a ‘worsening’ humanitarian crisis fuelled by a prolonged energy blockade and the lingering devastation caused by&nbsp;Hurricane Melissa last year.,,mobility
example_feed,"UN80 Initiative enters ‘delivery phase’, as Member States review progress on key work areas","Top officials updated Member States Monday on selected proposals under the UN80 reform initiative, including an initial assessment of a possible merger between gender equality agency, UN Women, and the UN reproductive health agency, UNFPA, as well as updates on the technology and data tracks.",,other
example_feed,MIDDLE EAST LIVE 6 April: Strikes persist across region as humanitarian needs rise,"Strikes and counter-strikes continue across the Middle East, with dozens of casualties reported over the weekend in Lebanon following Israeli strikes targeting the south and the capital, Beirut. Meanwhile, humanitarian needs are rising, critical infrastructure remains under strain, and the wider economic and global impacts of the crisis continue to mount. Stay with us for live updates from across the UN system. App users can follow coverage here.",,mobility
example_feed,"As World Cup kick-off nears, a reminder of the power of sport to build bridges and break barriers","The 2026 World Cup final will take place at the MetLife Stadium in New Jersey, a few miles away from UN Headquarters where, on Wednesday, elite athletes and sports administrators spoke about the power of football and other international sports to change the world for the better.",,mobility
example_feed,UN nuclear agency chief ‘deeply concerned’ by reports of latest attack on Iran power plant,"Reports of yet another projectile strike near the Bushehr nuclear power plant prompted Rafael Grossi, head of the International Atomic Energy Agency (IAEA), to register his deep concern on Saturday.",,security
example_feed,‘We watched them die before our eyes’: Sudan health workers helpless amid medical shortages,"As violence forces tens of thousands to flee Sudan’s South Kordofan state, doctors in a key maternity hospital are facing impossible choices – with too few supplies, too many patients, and lives slipping away.",,security
example_feed,Deminers race to keep up with military technology,"In conflict zones where new technologies are making landmines more dangerous, deminers must innovate at the same pace to avoid being left behind, a leading UN mines expert has told UN News.&nbsp;",,security
example_feed,"World News in Brief: South Sudan rights, opioid guidelines update, DR Congo crisis continues","South Sudan is evolving into a catastrophic human rights and humanitarian crisis, UN Human Rights Council-appointed independent experts warned on Thursday.",,other
example_feed,Guterres warns of ‘wider war’ as Middle East conflict enters second month,"The Middle East crisis has lurched into its second month, prompting UN Secretary-General António Guterres to issue a stark warning on Thursday morning that the world is “on the edge of a wider war” with catastrophic global implications.",,security
example_feed,Middle East crisis exposes global energy fault line as UN urges shift to renewables,"The ongoing crisis in the Middle East is exposing a central vulnerability in the global economy: the dependence on fossil fuels flowing through regions affected by conflict, a situation which is strengthening the UN’s case for a faster transition to cheaper, more resilient renewable power.",,security
example_feed,MIDDLE EAST LIVE 2 April: Civilian impact deepens as UN chief says ‘we must find a peaceful way out’ before region is engulfed by war,"Deadly new strikes reported across the Middle East overnight and Thursday rattled energy markets and pushed crude oil prices up to $107 in early trading. Hopes dwindled of a quick end to the conflict as President Trump spoke of another ""two to three weeks"" of attacks, alongside ""ongoing"" discussions with Tehran. Civilians across the region continue to suffer misery and displacement. The UN chief told reporters at UN Headquarters the conflict ‘is already being felt everywhere,” and “the spiral of destruction must stop”. Follow live coverage from the Security Council here. App users can follow coverage here.",,security
un_global,New era for space dawns as Artemis astronauts return,"After a 10-day journey around the far side of the Moon, the four astronauts on NASA’s Artemis II mission are set to splash down in the Pacific Ocean late on Friday.&nbsp;",,other
un_global,Sudan: 14 million displaced; hunger and attacks on health continue as war enters fourth year,"As Sudan approaches the third anniversary of a brutal civil war, millions remain displaced and hungry while the health system lies in ruins, with no end to the violence in sight, UN agencies said on Friday.",,security
un_global,"Lebanon airstrike casualties ‘still under the rubble’ as ambulances, hospitals face new threats","With Lebanon still reeling from Israel’s devastating airstrikes on 8 April, UN humanitarians reported new fears of attacks on ambulances and looming food shortages in the south of the country on Friday.",,security
un_global,MIDDLE EAST LIVE 10 April: Fear and uncertainty grow in Lebanon as conflict grinds on,"Fighting continues across parts of the Middle East, with renewed exchanges between Israel and Hezbollah in Lebanon. Humanitarian needs are deepening, with rising civilian casualties, mounting displacement and growing strain on services. Diplomatic efforts continue with high stakes negotiations due to start Saturday between the US and Iran over the faltering ceasefire deal. Lebanon is an active war zone and the Strait of Hormuz is still effectively closed. Stay with us for live updates. App users can follow coverage here.",,security
un_global,Kosovo mission head warns ‘mistrust’ threatens post-election stability,"Despite successful legislative elections in Kosovo late last year, a “delicate equilibrium” persists as deep divisions remain over the future of the United Nations presence in the region.",,other
un_global,Development finance gap risks reversing decades of progress,"Global fragmentation, deepening geopolitical tensions and conflicts are putting decades of development progress at risk, the UN warned in a report published on Thursday - calling for stepping up investment to meet internationally agreed goals.&nbsp;",,security
un_global,Lebanon: Health system overwhelmed following a ‘horrific’ day of Israeli strikes,"The scale and speed of destruction from the wave of airstrikes in Lebanon which began just hours after the US-Iran ceasefire announcement, has left the country’s already strained health system struggling to cope, according to the World Health Organization (WHO).",,mobility
un_global,"World News in Brief: Sudan refugee update, child trafficking crisis in South Sudan, ‘mystery’ illness in Burundi, human rights in Serbia","More than a million Sudanese refugees who’ve fled into neighbouring Chad risk losing out on essential food, shelter and other support due to funding cuts, as the war in their homeland approaches the three-year mark.",,mobility
un_global,"MIDDLE EAST LIVE 9 April: UN condemns massive strikes in Lebanon, as concerns grow over ceasefire","With a US-Iran ceasefire offering a fragile glimmer of hope after weeks of conflict, violence continues to reverberate across the Middle East. Massive airstrikes in Lebanon have caused heavy civilian casualties and widespread destruction, drawing strong UN condemnation. As humanitarian needs deepen and diplomatic efforts intensify, the situation remains highly volatile. Stay with us for live updates. App users can follow coverage here.",,security
un_global,Iran ceasefire raises hopes for reopening key Strait of Hormuz,"The announcement of a shaky two-week ceasefire between the US and Iran will, it is hoped, lead to the opening of the strategically important Strait of Hormuz, a vital waterway through which one fifth of the world’s oil and gas passes.",,mobility
un_global,Hundreds feared dead in Lebanon strikes,The United Nations has strongly condemned airstrikes by the Israeli military across Lebanon on Wednesday which have resulted in significant casualties and destruction. &nbsp;,,security
un_global,"Over 1,000 humanitarians have been killed in three years, Security Council hears","At least 326 humanitarians were killed in the line of duty across 21 countries during 2025, bringing the total killed over three years to over 1,010. The International Red Cross warned the Security Council on Wednesday that “we are losing our humanity in war.”",,other
un_global,MIDDLE EAST LIVE 8 April: US-Iran ceasefire announced; strikes continue in Lebanon,"After nearly 40 days of intense hostilities across the Middle East – marked by rising civilian casualties and widespread damage to critical infrastructure – a two-week ceasefire between the United States and Iran has been announced. While the UN Secretary-General has welcomed the move as a step toward a broader peace, reports of continued Israeli strikes and mass casualties across Lebanon underscore the fragility of the situation. Stay with us for live updates. App users can follow coverage here.",,mobility
un_global,"World News in Brief: Death on the Mediterranean, displacement in Afghanistan, ‘One Health’ summit","Over 180 people are feared dead or missing in the latest shipwrecks on the Mediterranean, according to the UN migration agency, IOM.",,other
un_global,Security Council: Russia and China veto resolution on Strait of Hormuz,"The UN Security Council has failed to adopt a resolution aiming to boost security in the Strait of Hormuz as the critical shipping corridor remains largely closed to global trade and the transport of humanitarian aid, with war continuing to rage across the region.&nbsp;",,mobility
un_global,From misdiagnosis to medical bias: Why women are living longer but not better,"For 25 years, the world has made&nbsp;significant progress in advancing women’s right to health, particularly in sexual and reproductive care. Women are living longer than ever before – but they are not living better.",,other
un_global,MIDDLE EAST LIVE 7 April: Humanitarian and economic pressures grow; Russia and China veto resolution on Strait of Hormuz,"Hostilities continue across the Middle East, with ongoing strikes, rising civilian impacts and mounting pressure on critical infrastructure and humanitarian services. On the diplomatic track in New York, China and Russia vetoed a Security Council resolution put forward by Gulf States to ensure safety and security of ships in the Strait of Hormuz - find full coverage here. Meanwhile, displacement remains high, aid access is constrained. Human rights chief Volker Türk says President Trump’s threat to annihilate Iranian civilisation is “sickening”. Stay with us for live updates from across the UN system. App users can follow coverage here.",,mobility
un_global,‘Entire families brutally erased’: Remembering the victims of the 1994 genocide against the Tutsi in Rwanda,"Thirty-two years ago, a genocidal campaign was unleashed against Rwanda’s Tutsi minority, resulting in more than one million deaths. On Tuesday, the UN is holding commemorations to ensure that the genocide is never forgotten and never repeated.",,other
un_global,"World News in Brief: ‘Skyrocketing’ needs outpace Sudan funding, Ukraine strikes update, global water security","The UN is significantly scaling up its presence in the Sudanese capital, Khartoum, to expand life-saving operations as the conflict between rival militaries approaches its third year.",,security
un_global,Cuba energy crisis: Humanitarian needs remain despite fuel supplies,The UN has issued an urgent call for international support as Cuba grapples with a ‘worsening’ humanitarian crisis fuelled by a prolonged energy blockade and the lingering devastation caused by&nbsp;Hurricane Melissa last year.,,mobility
un_global,"UN80 Initiative enters ‘delivery phase’, as Member States review progress on key work areas","Top officials updated Member States Monday on selected proposals under the UN80 reform initiative, including an initial assessment of a possible merger between gender equality agency, UN Women, and the UN reproductive health agency, UNFPA, as well as updates on the technology and data tracks.",,other
un_global,MIDDLE EAST LIVE 6 April: Strikes persist across region as humanitarian needs rise,"Strikes and counter-strikes continue across the Middle East, with dozens of casualties reported over the weekend in Lebanon following Israeli strikes targeting the south and the capital, Beirut. Meanwhile, humanitarian needs are rising, critical infrastructure remains under strain, and the wider economic and global impacts of the crisis continue to mount. Stay with us for live updates from across the UN system. App users can follow coverage here.",,mobility
un_global,"As World Cup kick-off nears, a reminder of the power of sport to build bridges and break barriers","The 2026 World Cup final will take place at the MetLife Stadium in New Jersey, a few miles away from UN Headquarters where, on Wednesday, elite athletes and sports administrators spoke about the power of football and other international sports to change the world for the better.",,mobility
un_global,UN nuclear agency chief ‘deeply concerned’ by reports of latest attack on Iran power plant,"Reports of yet another projectile strike near the Bushehr nuclear power plant prompted Rafael Grossi, head of the International Atomic Energy Agency (IAEA), to register his deep concern on Saturday.",,security
un_global,‘We watched them die before our eyes’: Sudan health workers helpless amid medical shortages,"As violence forces tens of thousands to flee Sudan’s South Kordofan state, doctors in a key maternity hospital are facing impossible choices – with too few supplies, too many patients, and lives slipping away.",,security
un_global,Deminers race to keep up with military technology,"In conflict zones where new technologies are making landmines more dangerous, deminers must innovate at the same pace to avoid being left behind, a leading UN mines expert has told UN News.&nbsp;",,security
un_global,"World News in Brief: South Sudan rights, opioid guidelines update, DR Congo crisis continues","South Sudan is evolving into a catastrophic human rights and humanitarian crisis, UN Human Rights Council-appointed independent experts warned on Thursday.",,other
un_global,Guterres warns of ‘wider war’ as Middle East conflict enters second month,"The Middle East crisis has lurched into its second month, prompting UN Secretary-General António Guterres to issue a stark warning on Thursday morning that the world is “on the edge of a wider war” with catastrophic global implications.",,security
un_global,Middle East crisis exposes global energy fault line as UN urges shift to renewables,"The ongoing crisis in the Middle East is exposing a central vulnerability in the global economy: the dependence on fossil fuels flowing through regions affected by conflict, a situation which is strengthening the UN’s case for a faster transition to cheaper, more resilient renewable power.",,security
un_global,MIDDLE EAST LIVE 2 April: Civilian impact deepens as UN chief says ‘we must find a peaceful way out’ before region is engulfed by war,"Deadly new strikes reported across the Middle East overnight and Thursday rattled energy markets and pushed crude oil prices up to $107 in early trading. Hopes dwindled of a quick end to the conflict as President Trump spoke of another ""two to three weeks"" of attacks, alongside ""ongoing"" discussions with Tehran. Civilians across the region continue to suffer misery and displacement. The UN chief told reporters at UN Headquarters the conflict ‘is already being felt everywhere,” and “the spiral of destruction must stop”. Follow live coverage from the Security Council here. App users can follow coverage here.",,security
euronews,"JD Vance warns Iran not to ""play"" US during planned talks in Pakistan",The US vice president has said he is looking forward to negotiations' in Pakistan as UK prime minister Starmer classifies the ceasefire as 'fragile.',,environment
euronews,"Lithuania and Azerbaijan expand business ties with focus on energy, trade and EU connectivity","Lithuania is strengthening economic and political ties with Azerbaijan through Prime Minister Inga Ruginienė’s visit to Baku, focusing on energy, trade and transport connectivity, and aiming to deepen cooperation within the EU framework.",,mobility
euronews,"Italy: From Go to Monopoly, board games bridge generations","A new exhibition titled “0–99. Design for Play” opened on 10 April 2026 at Palazzo Arese Borromeo in Cesano Maderno, near Milan, turning a 17th‑century aristocratic residence into a large, interactive gallery of games.",,other
euronews,"Israel: Hezbollah rocket from Lebanon strikes Safed, injuring several people","Emergency services were deployed in Safed on 10 April 2026 after a rocket fired from Lebanon by Hezbollah struck the northern city, prompting a rapid response to treat casualties and secure the area.",,mobility
euronews,Emmanuel Macron meets Pope Leo XIV at the Vatican to discuss global tensions,"France’s President Emmanuel Macron met Pope Leo XIV at the Vatican on Friday, marking their first official talks and signalling renewed dialogue between France and the Holy See at a time of rising global tensions.",,other
euronews,"Latest news bulletin | April 10th, 2026 – Evening","Catch up with the most important stories from around Europe and beyond this April 10th, 2026 - latest news, breaking news, World, Business, Entertainment, Politics, Culture, Travel.",,mobility
euronews,Former hostage In Iran faces surreal tax troubles in France after release,"Former French hostage in Iran, Benjamin Brière, said his release did not end his ordeal, as he struggled with taxes, benefits and reintegration back home.",,security
euronews,"Ongoing wars 'not failure of UN but of member states', General Assembly President tells Euronews","The head of the United Nations' main policy-making organ responded to mounting criticism of her organisation in a Euronews interview, arguing the abuse of vetoes by key members is blocking progress.",,politics
euronews,Ukraine : Russian drone attacks hit Sumy and Odesa as Easter truce looms,"Russian drone strikes hit Sumy and Odesa, injuring two and damaging homes and energy sites, as Putin proposes a brief Easter ceasefire.",,security
euronews,Mr Nobody on leaving Russia behind: Oscar-winning director Pavel Talankin talks home truths,"In an exclusive interview, Paval Talankin, winner of the 2026 Best Documentary Oscar, tells Euronews about live outside his Russian homeland and the ""discarded"" generation for whom he made 'Mr Nobody Against Putin'.",,other
euronews,Israeli restaurant targeted in suspected antisemitic attack in Munich,"Antisemitic offences in Germany have risen significantly in recent years, reaching a new peak in 2024. Authorities recorded 6,236 cases, including 173 violent incidents, according to available data.",,security
euronews,"Overlooked IRGC institution holds key to Iran's Hormuz approach, expert warns","The fragile US-Iran ceasefire is already faltering, with Tehran still blocking the Strait of Hormuz navigation in protest against Israel’s attacks in Lebanon. A leading Iran expert indicates Tehran's Hormuz strategy could be part of a well-established strategy.",,security
euronews,Elections in Hungary: What do the polls say?,"Medián, currently considered among the most accurate pollsters in Hungary, predicts a two-thirds majority in parliament for opposition party Tisza. Most other pollsters estimate a smaller lead for them, while few have the ruling Fidesz party narrowly ahead.",,other
euronews,"Druzhba oil pipeline will be fixed this spring, Zelenskyy says","Ukraine’s president said the Druzhba pipeline, whose operational status remains tied to EU funding for Kyiv, will be fixed later this spring, with repair work under way.",,other
euronews,Pentagon denies threatening Vatican over pope's remarks on US intervention in Iran,"Pentagon and Vatican envoys have both denied reports that US officials gave the Holy See's ambassador to the US a ""bitter lecture,"" demanding the Church align with the Trump administration over Pope Leo XIV's criticism of the Iran war.",,mobility
euronews,Ukrainians shot down Iran's drones in the Gulf — what does Kyiv get in return?,Ukraine’s president announced that Ukrainian experts in the Middle East have already shot down Iranian drones in “several countries” with domestically produced interceptors.,,other
euronews,"Poland: ""Frog Patrol"" saves thousands of amphibians during migration","Volunteers near Warsaw form a frog patrol each spring, helping thousands of frogs and toads cross a road safely and protect local breeding grounds.",,mobility
euronews,"Latest news bulletin | April 10th, 2026 – Midday","Catch up with the most important stories from around Europe and beyond this April 10th, 2026 - latest news, breaking news, World, Business, Entertainment, Politics, Culture, Travel.",,mobility
euronews,Pakistan prepares to host US-Iran talks as ceasefire remains shaky,"Islamabad is getting ready to host talks on Friday between the United States and Iran on a resolution to the war and the Strait of Hormuz, which remains at a standstill despite the ceasefire.",,environment
euronews,"Putin announces Easter ceasefire, proposed by Kyiv for weeks","Moscow repeatedly ignored Kyiv’s calls for Easter weekend ceasefire around 12 April just to announce what it called its own “unilateral"" truce.",,environment
euronews,Brazil: Indigenous marches in Brasília enter third day over land rights,"Thousands of Indigenous people marched through Brasília on 9 April 2026 during the 22nd “Free Land Encampment”, urging authorities to recognise ancestral lands ahead of October’s elections.",,other
euronews,Lebanon reeling as Israeli strikes continue after 300 killed yesterday,"Israeli air strikes hit Hezbollah sites in southern Lebanon as rocket sirens blare in northern Israel, despite calls to extend a regional ceasefire.",,environment
euronews,A 'glass-like' battlefield: German Army chief on the future of warfare,"In an exclusive interview with Euronews, German Army chief Christian Freuding outlines how data, speed and digital systems are reshaping modern warfare.",,other
euronews,"Latest news bulletin | April 10th, 2026 – Morning","Catch up with the most important stories from around Europe and beyond this April 10th, 2026 - latest news, breaking news, World, Business, Entertainment, Politics, Culture, Travel.",,mobility
euronews,Former Israeli PM: US-Israel-Iran war ceasefire – what next?,"In an opinion piece for Euronews, former Israeli Prime Minister Ehud Olmert says the central objectives of the war were not met: the regime did not collapse, enriched uranium remains in Iran’s hands, and it still dominates the Strait of Hormuz. But despite this, there is still a chance for peace.",,environment
euronews,"Russia's president announces Orthodox Easter ceasefire with Ukraine, Kremlin says",Ukraine’s President Volodymyr Zelenskyy had previously signalled Kyiv's openness to a potential Easter truce.,,environment
euronews,US First Lady Melania Trump says 'I was not a participant' in Epstein sexual abuse,"Epstein died in federal custody in 2019 while awaiting trial on sex trafficking charges involving minors, but the scandal has repeatedly overshadowed Trump's second presidency.",,mobility
euronews,Venezuela police use tear gas against protesters demanding better pay and pensions,"The monthly minimum wage in Venezuela is 130 bolivars (€0.23), unchanged since 2022, and roughly 330 times lower than the UN poverty line of $3 (€2.56) a day.",,other
euronews,EU police force Europol smashes ring smuggling people from Vietnam into Europe,"Europol said the people smuggling network transported at least 15 migrants per month, charging them up to €22,000 for the full journey.",,mobility
euronews,Cuba accuses US of 'extorting' Latin America by forcing countries to cancel doctors deals,"According to official figures, some 24,000 Cuban doctors and other healthcare professionals were deployed in 56 countries in 2025.",,other
euronews,"Germany has resumed diplomatic talks with Iran, Chancellor Friedrich Merz says",Merz also said that the continued Israeli military campaign in Lebanon could jeopardise peace talks expected between the United States and Iran over the war in the Middle East.,,security
euronews,"Israel's cabinet instructed 'to begin direct negotiations' with Lebanon, Netanyahu says",The statement from the prime minister's office comes on the same day that the Israeli military warned residents of Beirut's southern suburbs of imminent strikes and called for them to evacuate.,,security
euronews,"Trump again berates NATO, calls it 'disappointing'",Trump's outrage at NATO allies over their failure to join the Iran war had prompted fears he would seek to pull the United States out of the nearly eight-decade-old alliance.,,other
euronews,"Latest news bulletin | April 9th, 2026 – Evening","Catch up with the most important stories from around Europe and beyond this April 9th, 2026 - latest news, breaking news, World, Business, Entertainment, Politics, Culture, Travel.",,mobility
euronews,UAE urges full compliance from Iran following ceasefire announcement,"The UAE is seeking clarifications on the US-Iran ceasefire deal regarding attacks across the Gulf, as well as on the reopening of the Strait of Hormuz as a “central priority”, as Tehran's blockade continues despite its commitment to reopen the strait to free navigation.",,security
euronews,Gaza mourns Al Jazeera reporter Mohammed Wishah killed iin Israeli drone strike,Gaza was mourning Al Jazeera correspondent Mohammed Wishah on Thursday after he was killed in an Israeli drone strike that hit his car west of Gaza City a day earlier.,,security
euronews,"Iran rules out any restrictions on its enrichment programme, nuclear chief says","The issue of uranium enrichment has been central to Western relations with Iran for more than two decades, with the US and its allies accusing Tehran of seeking atomic weapons.",,politics
euronews,Confusion reigns over Hormuz shipping reopening as Iran issues new passage conditions,"Normal shipping in the Strait of Hormuz has not yet resumed as per the ceasefire deal, as Iran consolidates its hardline, unilateral position on lifting its blockade in apparent contradiction of the rollercoaster ceasefire deal.",,mobility
euronews,"Pro-Iran groups using AI to troll Trump and try to control war narrative, analysts say",Analysts say the memes appear to be coming from groups linked to the government in Tehran and are part of a strategy of leveraging its limited resources to inflict damage on the US.,,politics
euronews,UK and Norway foil Russian submarine plot to survey undersea cables in north Atlantic,"Britain and Norway announced new joint naval patrols aimed at protecting undersea cables from Russia in December, with a fleet of at least 13 warships protecting critical infrastructure in the North Atlantic.",,other
euronews,"Israeli strikes on Lebanon leave more than 200 dead and 1,000 wounded","Lebanon is searching for survivors after Israeli strikes on Beirut, Tyre and the southern village of Abbassiyeh killed at least 203 people and wounded more than 1,000, the health ministry said, as the overall death toll from attacks since early March surpasses 1,500.",,security
euronews,"Latest news bulletin | April 9th, 2026 – Midday","Catch up with the most important stories from around Europe and beyond this April 9th, 2026 - latest news, breaking news, World, Business, Entertainment, Politics, Culture, Travel.",,mobility
euronews,German Bundestag chief visits Baltic states to discuss cyber defence on NATO's eastern flank,"Klöckner will also visit the German Bundeswehr brigade in Lithuania on Thursday. Around 5,000 German soldiers are to be deployed to Lithuania by 2027 to support the local military.",,security
euronews,Poland's Catholic Church prepares parishes as crisis centres amid war fears,"The Polish Bishops' Conference has established a special working group to develop an action plan in the event of an armed conflict reaching Poland, as ""most Poles will first turn to the church for help, and only then to municipal institutions and offices,"" officials say.",,security
euronews,"Berlin opens Süd Ost Galerie, a new open-air street art landmark","Germany has unveiled a new open‑air street art destination in Berlin, where the 450‑metre Süd Ost Galerie now stretches along Grenzweg in the south‑east of the capital.",,other
euronews,Mexico: Miner rescued alive after 14 days trapped underground,"After 14 days trapped in a flooded gold and silver mine, a worker has been pulled out alive while two others have died.",,environment
euronews,Israeli strikes on Beirut kill at least 182 and wound hundreds,"Lebanon spent the night digging through rubble after Israeli strikes hit busy commercial and residential districts in central Beirut late on Wednesday, killing at least 182 people and wounding 890, according to the health ministry.",,politics
euronews,Fiscal discipline as Ukraine's real test on the road to EU membership,"Fiscal discipline will be Ukraine's real test on the road to EU membership, writes Danylo Hetmantsev, chair of parliament’s finance, tax and customs committee, in an op-ed for Euronews. He argues that Ukraine has already shown it can turn shadow economy reforms into real revenue.",,mobility
euronews,Ceasefire threatened as Iran closes strait again and Trump warns US troops are to remain,"In a social media post, Trump said the surge of US warships and troops will remain around Iran “until such time as the real agreement reached is fully complied with.”",,environment
euronews,"Latest news bulletin | April 9th, 2026 – Morning","Catch up with the most important stories from around Europe and beyond this April 9th, 2026 - latest news, breaking news, World, Business, Entertainment, Politics, Culture, Travel.",,mobility
